"_time",timestamp,"src_host",hoststate,pl,rta,rtmin,rtmax
"2015-02-18T14:17:26.000-0800",1424297846,"host40",UP,"0%","1.056","0.909","1.191"
"2015-02-18T14:18:27.000-0800",1424297907,"host40",UP,"0%","1.128","0.965","1.275"
"2015-02-18T14:19:28.000-0800",1424297968,"host40",UP,"0%","1.088","1.005","1.254"
"2015-02-18T14:20:34.000-0800",1424298034,"host40",UP,"0%","1.088","0.932","1.499"
"2015-02-18T14:21:35.000-0800",1424298095,"host40",UP,"0%","1.773","1.115","2.182"
"2015-02-18T14:22:39.000-0800",1424298159,"host40",UP,"0%","1.642","0.862","3.816"
"2015-02-18T14:23:41.000-0800",1424298221,"host40",UP,"0%","2.597","1.421","5.238"
"2015-02-18T14:24:42.000-0800",1424298282,"host40",UP,"0%","1.529","1.191","2.414"
"2015-02-18T14:25:43.000-0800",1424298343,"host40",UP,"0%","2.001","0.936","5.933"
"2015-02-18T14:26:44.000-0800",1424298404,"host40",UP,"0%","2.217","0.954","5.081"
"2015-02-18T14:27:45.000-0800",1424298465,"host40",UP,"0%","1.516","1.008","2.390"
"2015-02-18T14:28:46.000-0800",1424298526,"host40",UP,"0%","0.992","0.852","1.220"
"2015-02-18T14:29:47.000-0800",1424298587,"host40",UP,"0%","1.204","1.048","1.333"
"2015-02-18T14:30:48.000-0800",1424298648,"host40",UP,"0%","1.974","0.979","5.599"
"2015-02-18T14:31:49.000-0800",1424298709,"host40",UP,"0%","1.325","1.170","1.832"
"2015-02-18T14:32:50.000-0800",1424298770,"host40",UP,"0%","1.029","0.930","1.160"
"2015-02-18T14:33:52.000-0800",1424298832,"host40",UP,"0%","1.028","0.913","1.111"
"2015-02-18T14:34:53.000-0800",1424298893,"host40",UP,"0%","1.308","0.890","2.530"
"2015-02-18T14:35:59.000-0800",1424298959,"host40",UP,"20%","1.670","1.257","1.962"
"2015-02-18T14:37:00.000-0800",1424299020,"host40",UP,"0%","1.781","0.987","4.555"
"2015-02-18T14:38:01.000-0800",1424299081,"host40",UP,"0%","1.080","0.933","1.200"
"2015-02-18T14:39:02.000-0800",1424299142,"host40",UP,"0%","1.121","1.026","1.207"
"2015-02-18T14:40:03.000-0800",1424299203,"host40",UP,"0%","1.158","1.030","1.330"
"2015-02-18T14:41:05.000-0800",1424299265,"host40",UP,"0%","1.264","1.049","1.551"
"2015-02-18T14:42:06.000-0800",1424299326,"host40",UP,"0%","1.223","0.951","2.043"
"2015-02-18T14:43:07.000-0800",1424299387,"host40",UP,"0%","1.031","0.972","1.121"
"2015-02-18T14:44:08.000-0800",1424299448,"host40",UP,"0%","1.175","0.958","1.543"
"2015-02-18T14:45:09.000-0800",1424299509,"host40",UP,"0%","1.243","1.011","1.777"
"2015-02-18T14:46:10.000-0800",1424299570,"host40",UP,"0%","1.373","0.980","2.101"
"2015-02-18T14:47:14.000-0800",1424299634,"host40",UP,"0%","1.728","1.111","2.839"
"2015-02-18T14:48:16.000-0800",1424299696,"host40",UP,"0%","1.036","0.961","1.095"
"2015-02-18T14:49:17.000-0800",1424299757,"host40",UP,"0%","1.079","0.978","1.272"
"2015-02-18T14:50:18.000-0800",1424299818,"host40",UP,"0%","1.034","0.959","1.211"
"2015-02-18T14:51:19.000-0800",1424299879,"host40",UP,"0%","1.072","0.967","1.194"
"2015-02-18T14:52:20.000-0800",1424299940,"host40",UP,"0%","0.998","0.932","1.208"
"2015-02-18T14:53:22.000-0800",1424300002,"host40",UP,"0%","0.981","0.889","1.058"
"2015-02-18T14:54:23.000-0800",1424300063,"host40",UP,"0%","1.224","0.911","1.698"
"2015-02-18T14:55:25.000-0800",1424300125,"host40",UP,"0%","1.035","0.896","1.237"
"2015-02-18T14:56:28.000-0800",1424300188,"host40",UP,"0%","1.566","0.962","2.512"
"2015-02-18T14:57:29.000-0800",1424300249,"host40",UP,"0%","1.406","1.063","1.756"
"2015-02-18T14:58:35.000-0800",1424300315,"host40",UP,"0%","1.857","1.290","3.702"
"2015-02-18T14:59:36.000-0800",1424300376,"host40",UP,"0%","1.192","0.951","1.300"
"2015-02-18T15:00:40.000-0800",1424300440,"host40",UP,"0%","2.690","1.013","4.602"
"2015-02-18T15:01:43.000-0800",1424300503,"host40",UP,"0%","1.190","0.932","1.668"
"2015-02-18T15:02:44.000-0800",1424300564,"host40",UP,"0%","0.974","0.942","0.996"
"2015-02-18T15:03:45.000-0800",1424300625,"host40",UP,"0%","1.877","1.113","3.060"
"2015-02-18T15:04:46.000-0800",1424300686,"host40",UP,"0%","0.929","0.882","1.019"
"2015-02-18T15:05:47.000-0800",1424300747,"host40",UP,"0%","1.147","0.978","1.398"
"2015-02-18T15:06:48.000-0800",1424300808,"host40",UP,"0%","1.245","0.913","1.864"
"2015-02-18T15:07:49.000-0800",1424300869,"host40",UP,"0%","1.118","0.882","1.764"
"2015-02-18T15:08:50.000-0800",1424300930,"host40",UP,"0%","1.910","0.894","3.488"
"2015-02-18T15:09:52.000-0800",1424300992,"host40",UP,"0%","1.476","0.976","2.334"
"2015-02-18T15:10:54.000-0800",1424301054,"host40",UP,"0%","1.607","0.958","2.794"
"2015-02-18T15:11:55.000-0800",1424301115,"host40",UP,"0%","1.060","0.941","1.298"
"2015-02-18T15:12:56.000-0800",1424301176,"host40",UP,"0%","1.525","1.256","1.966"
"2015-02-18T15:13:57.000-0800",1424301237,"host40",UP,"0%","2.135","1.055","3.996"
"2015-02-18T15:14:58.000-0800",1424301298,"host40",UP,"0%","1.420","0.942","2.857"
"2015-02-18T15:15:59.000-0800",1424301359,"host40",UP,"0%","1.251","0.976","1.609"
"2015-02-18T15:17:00.000-0800",1424301420,"host40",UP,"0%","1.922","1.329","2.438"
"2015-02-18T15:18:01.000-0800",1424301481,"host40",UP,"0%","1.473","0.952","2.481"
"2015-02-18T15:19:02.000-0800",1424301542,"host40",UP,"0%","3.813","1.595","8.361"
"2015-02-18T15:20:03.000-0800",1424301603,"host40",UP,"0%","1.817","1.032","3.137"
"2015-02-18T15:21:04.000-0800",1424301664,"host40",UP,"0%","1.192","1.057","1.450"
"2015-02-18T15:22:05.000-0800",1424301725,"host40",UP,"0%","3.558","0.995","8.043"
"2015-02-18T15:23:07.000-0800",1424301787,"host40",UP,"0%","1.815","1.149","2.980"
"2015-02-18T15:24:08.000-0800",1424301848,"host40",UP,"0%","1.231","0.895","1.514"
"2015-02-18T15:25:09.000-0800",1424301909,"host40",UP,"0%","3.929","0.980","11.885"
"2015-02-18T15:26:10.000-0800",1424301970,"host40",UP,"0%","1.884","1.274","3.241"
"2015-02-18T15:27:14.000-0800",1424302034,"host40",UP,"0%","1.762","1.574","2.004"
"2015-02-18T15:28:16.000-0800",1424302096,"host40",UP,"0%","2.104","0.919","4.171"
"2015-02-18T15:29:17.000-0800",1424302157,"host40",UP,"0%","1.290","0.990","1.793"
"2015-02-18T15:30:18.000-0800",1424302218,"host40",UP,"0%","1.253","0.925","2.138"
"2015-02-18T15:31:19.000-0800",1424302279,"host40",UP,"0%","1.200","1.020","1.626"
"2015-02-18T15:32:20.000-0800",1424302340,"host40",UP,"0%","1.458","0.999","2.883"
"2015-02-18T15:33:22.000-0800",1424302402,"host40",UP,"0%","1.915","0.950","5.519"
"2015-02-18T15:34:25.000-0800",1424302465,"host40",UP,"0%","1.715","1.558","2.066"
