"_time","bits_transferred"
1118152800.0,3562279127
1118153100.0,3710215571
1118153400.0,3877469703
1118153700.0,3876354871
1118154000.0,4582542581
1118154300.0,5016336869
1118154600.0,5202513642
1118154900.0,5410604985
1118155200.0,5408071320
1118155500.0,5598048880
1118155800.0,5268183974
1118156100.0,5205965910
1118156400.0,5554284558
1118156700.0,6071804752
1118157000.0,6533409311
1118157300.0,6432612096
1118157600.0,6422634291
1118157900.0,6413343245
1118158200.0,6438472853
1118158500.0,6593321117
1118158800.0,6386798311
1118159100.0,6402829429
1118159400.0,6448640206
1118159700.0,6758012799
1118160000.0,6897537181
1118160300.0,6625683956
1118160600.0,6786593033
1118160900.0,6741090851
1118161200.0,6857892154
1118161500.0,6885633911
1118161800.0,7036186201
1118162100.0,7182820092
1118162400.0,6897783063
1118162700.0,6802926206
1118163000.0,6856304069
1118163300.0,6963587768
1118163600.0,7283565230
1118163900.0,7294355973
1118164200.0,7277773691
1118164500.0,7327652118
1118164800.0,7411935065
1118165100.0,7559621824
1118165400.0,7464144357
1118165700.0,7556335967
1118166000.0,7531158925
1118166300.0,7451588318
1118166600.0,7251552599
1118166900.0,7387311025
1118167200.0,7534902212
1118167500.0,7669462738
1118167800.0,7806347806
1118168100.0,7633844064
1118168400.0,7666925195
1118168700.0,7520164584
1118169000.0,7501747391
1118169300.0,7767857531
1118169600.0,7232609101
1118169900.0,7274338276
1118170200.0,7408981176
1118170500.0,7230742271
1118170800.0,7354167649
1118171100.0,7107897687
1118171400.0,7295721127
1118171700.0,7080999121
1118172000.0,7606453644
1118172300.0,7642015997
1118172600.0,7848884725
1118172900.0,7724196995
1118173200.0,7650962743
1118173500.0,7753904748
1118173800.0,7744009419
1118174100.0,7336903262
1118174400.0,7485654677
1118174700.0,7513611244
1118175000.0,7644185813
1118175300.0,7414962086
1118175600.0,7514644125
1118175900.0,7445178236
1118176200.0,7294385873
1118176500.0,7233354647
1118176800.0,7332941859
1118177100.0,7513492139
1118177400.0,7528727688
1118177700.0,8536272286
1118178000.0,7724842582
1118178300.0,7599001549
1118178600.0,7348468015
1118178900.0,7326327200
1118179200.0,7639506670
1118179500.0,7802449354
1118179800.0,7485672218
1118180100.0,7354957743
1118180400.0,7497015314
1118180700.0,7235630142
1118181000.0,7434386233
1118181300.0,7519403839
1118181600.0,7403087775
1118181900.0,7366791574
1118182200.0,7577678754
1118182500.0,7326687210
1118182800.0,7259778835
1118183100.0,7499146875
1118183400.0,7530745790
1118183700.0,7054149566
1118184000.0,7134469847
1118184300.0,7081949563
1118184600.0,6953665837
1118184900.0,7023590624
1118185200.0,6759900139
1118185500.0,6530131152
1118185800.0,6447105457
1118186100.0,6330514608
1118186400.0,6331684427
1118186700.0,6223271197
1118187000.0,6202872405
1118187300.0,5914776765
1118187600.0,5917454777
1118187900.0,5921237644
1118188200.0,5640499083
