type,direction,duration,_time
Voice,Incoming,18,2010-09-16 13:07:48
Voice,Outgoing,99,2010-09-16 13:11:31
Voice,Incoming,214,2010-09-16 13:13:24
Voice,Outgoing,72,2010-09-16 13:17:35
Voice,Incoming,37,2010-09-16 13:53:42
Voice,Outgoing,250,2010-09-16 14:40:59
Voice,Outgoing,87,2010-09-16 15:01:48
Voice,Outgoing,0,2010-09-16 15:03:39
Voice,Outgoing,180,2010-09-16 15:04:01
Voice,Outgoing,248,2010-09-16 15:46:52
SMS,Outgoing,0,2010-09-16 15:57:56
SMS,Outgoing,0,2010-09-16 17:10:49
SMS,Incoming,0,2010-09-16 17:11:58
SMS,Outgoing,0,2010-09-16 17:48:14
SMS,Outgoing,0,2010-09-16 18:12:07
SMS,Incoming,0,2010-09-16 18:15:53
SMS,Incoming,0,2010-09-16 18:31:57
Voice,Missed call,0,2010-09-16 18:34:03
SMS,Outgoing,0,2010-09-16 20:57:17
Voice,Outgoing,0,2010-09-16 21:01:48
SMS,Outgoing,0,2010-09-16 21:02:48
SMS,Outgoing,0,2010-09-16 21:45:37
SMS,Incoming,0,2010-09-17 05:25:57
SMS,Incoming,0,2010-09-17 07:05:24
SMS,Outgoing,0,2010-09-17 07:12:04
Voice,Outgoing,179,2010-09-17 07:12:22
Voice,Missed call,0,2010-09-17 07:33:20
SMS,Incoming,0,2010-09-17 08:09:32
Voice,Outgoing,25,2010-09-17 08:17:18
Voice,Outgoing,15,2010-09-17 09:37:15
Voice,Outgoing,233,2010-09-17 11:24:36
Voice,Incoming,121,2010-09-17 12:30:54
SMS,Incoming,0,2010-09-17 13:33:41
SMS,Outgoing,0,2010-09-17 13:35:35
SMS,Incoming,0,2010-09-17 13:40:53
SMS,Outgoing,0,2010-09-17 13:43:16
SMS,Incoming,0,2010-09-17 13:43:27
Voice,Outgoing,0,2010-09-17 15:02:57
SMS,Incoming,0,2010-09-17 15:33:52
Voice,Outgoing,419,2010-09-17 15:34:12
Voice,Outgoing,0,2010-09-17 16:09:04
SMS,Outgoing,0,2010-09-17 16:35:01
Voice,Outgoing,37,2010-09-17 16:52:57
SMS,Incoming,0,2010-09-17 17:21:11
Voice,Incoming,621,2010-09-17 17:32:08
SMS,Outgoing,0,2010-09-17 17:43:09
SMS,Incoming,0,2010-09-17 18:27:41
Data,Outgoing,11,2010-09-17 18:57:31
SMS,Incoming,0,2010-09-17 18:58:08
SMS,Outgoing,0,2010-09-17 19:18:26
SMS,Incoming,0,2010-09-17 19:23:28
Data,Outgoing,77,2010-09-17 19:24:15
SMS,Outgoing,0,2010-09-17 19:27:48
SMS,Incoming,0,2010-09-17 19:28:05
SMS,Outgoing,0,2010-09-17 19:49:47
SMS,Incoming,0,2010-09-17 19:50:37
Voice,Missed call,0,2010-09-17 20:11:40
Voice,Outgoing,0,2010-09-17 20:12:08
Voice,Outgoing,0,2010-09-17 20:12:18
Voice,Outgoing,0,2010-09-17 20:12:28
