Date,CapacityBytes,Model,SerialNumber,SMART_1_Raw,SMART_2_Raw,SMART_3_Raw,SMART_4_Raw,SMART_5_Raw,DiskFailure
6/8/15,2.00E+12,Hitachi HDS722020ALA330,JK2171B9J0G26L,0,1,39063,31,0,Yes
8/28/14,2.00E+12,Hitachi HDS722020ALA330,JK11A8B9J7EZJF,0,1,30730,32,0,Yes
12/15/14,4.00E+12,HGST HMS5C4040ALE640,PL2331LAGUHZ6J,0,0,1806,24,0,No
12/31/13,1.50E+12,ST31500341AS,9VS21JD2,104152028,102,36008,26,0,Yes
1/29/14,1.50E+12,ST31500541AS,6XW05BBP,133405108,1242,37515,21,0,Yes
6/4/15,4.00E+12,HGST HMS5C4040ALE640,PL2331LAGULGGJ,0,0,5909,26,0,No
7/8/13,3.00E+12,ST3000DM001,S1F0R1AK,54571504,0,7746,22,0,Yes
7/14/13,4.00E+12,Hitachi HDS5C4040ALE630,PL1321LAG35B8H,0,0,2358,23,0,No
9/7/15,4.00E+12,ST4000DM000,Z300X7L1,50521088,0,12352,23,0,No
7/18/15,3.00E+12,ST3000DM001,S1F09DZQ,77351504,2304,26350,23,0,Yes
7/26/14,3.00E+12,ST3000DM001,S1F021PW,10721728,0,18325,25,48,Yes
9/25/14,3.00E+12,ST3000DM001,W1F0X3L8,7737784,0,17748,31,0,Yes
7/5/13,1.50E+12,ST31500541AS,6XW03ARX,234243546,0,33464,31,0,No
12/16/14,4.00E+12,HGST HMS5C4040BLE640,PL2331LAGMUXNJ,0,0,3628,25,0,No
10/31/13,4.00E+12,ST4000DM000,Z300GPPS,219958384,0,2148,21,0,No
4/24/14,3.00E+12,ST3000DM001,S1F0GNMK,225208538,8104,15388,27,0,Yes
11/16/14,4.00E+12,Hitachi HDS5C4040ALE630,PL1311LAG3D8AH,0,0,14078,21,0,No
5/27/14,3.00E+12,ST3000DM001,S1F0BKHC,156153328,200,16349,29,0,Yes
9/19/14,1.50E+12,ST1500DL003,5YD5QGEK,23786224,0,11139,31,0,Yes
8/3/14,2.00E+12,Hitachi HDS722020ALA330,JK11A8B9J82WLF,0,0,31664,29,0,No
5/27/13,3.00E+12,Hitachi HDS5C3030ALA630,MJ1311YNG2RXUA,0,0,13460,29,0,No
7/19/14,4.00E+12,Hitachi HDS5C4040ALE630,PL1331LAGB647H,0,0,10353,23,0,No
4/18/14,3.00E+12,ST3000DM001,S1F02EXL,168294463,0,18291,20,144,Yes
6/18/13,3.00E+12,ST3000DM001,S1F00TZS,111277800,480,11391,28,0,Yes
