,month,iron_production
0,1956-01-01,172.0
1,1956-02-01,166.0
2,1956-03-01,175.0
3,1956-04-01,171.0
4,1956-05-01,184.0
5,1956-06-01,175.0
6,1956-07-01,183.0
7,1956-08-01,154.0
8,1956-09-01,182.0
9,1956-10-01,161.0
10,1956-11-01,191.0
11,1956-12-01,197.0
12,1957-01-01,193.0
13,1957-02-01,174.0
14,1957-03-01,178.0
15,1957-04-01,171.0
16,1957-05-01,176.0
17,1957-06-01,184.0
18,1957-07-01,202.0
19,1957-08-01,199.0
20,1957-09-01,185.0
21,1957-10-01,191.0
22,1957-11-01,185.0
23,1957-12-01,205.0
24,1958-01-01,201.0
25,1958-02-01,176.0
26,1958-03-01,200.0
27,1958-04-01,190.0
28,1958-05-01,203.0
29,1958-06-01,182.0
30,1958-07-01,193.0
31,1958-08-01,198.0
32,1958-09-01,193.0
33,1958-10-01,185.0
34,1958-11-01,192.0
35,1958-12-01,204.0
36,1959-01-01,202.0
37,1959-02-01,184.0
38,1959-03-01,191.0
39,1959-04-01,196.0
40,1959-05-01,210.0
41,1959-06-01,235.0
42,1959-07-01,214.0
43,1959-08-01,215.0
44,1959-09-01,211.0
45,1959-10-01,261.0
46,1959-11-01,210.0
47,1959-12-01,216.0
48,1960-01-01,216.0
49,1960-02-01,198.0
50,1960-03-01,223.0
51,1960-04-01,243.0
52,1960-05-01,252.0
53,1960-06-01,252.0
54,1960-07-01,243.0
55,1960-08-01,255.0
56,1960-09-01,246.0
57,1960-10-01,259.0
58,1960-11-01,252.0
59,1960-12-01,282.0
60,1961-01-01,239.0
61,1961-02-01,237.0
62,1961-03-01,267.0
63,1961-04-01,245.0
64,1961-05-01,275.0
65,1961-06-01,283.0
66,1961-07-01,299.0
67,1961-08-01,297.0
68,1961-09-01,276.0
69,1961-10-01,256.0
70,1961-11-01,237.0
71,1961-12-01,299.0
72,1962-01-01,304.0
73,1962-02-01,273.0
74,1962-03-01,308.0
75,1962-04-01,303.0
76,1962-05-01,301.0
77,1962-06-01,279.0
78,1962-07-01,298.0
79,1962-08-01,291.0
80,1962-09-01,267.0
81,1962-10-01,286.0
82,1962-11-01,279.0
83,1962-12-01,305.0
84,1963-01-01,302.0
85,1963-02-01,274.0
86,1963-03-01,306.0
87,1963-04-01,277.0
88,1963-05-01,296.0
89,1963-06-01,252.0
90,1963-07-01,304.0
91,1963-08-01,350.0
92,1963-09-01,328.0
93,1963-10-01,328.0
94,1963-11-01,337.0
95,1963-12-01,334.0
