_time,ac_power,total-unhalted_core_cycles,total-instructions_retired,total-last_level_cache_references,total-memory_bus_transactions,total-cpu-utilization,total-disk-accesses,total-disk-blocks,total-disk-utilization
13:51:28 2008-Apr-14,220.0,4708152,3924639,75140,5130,0.99,0,0,0
13:51:29 2008-Apr-14,220.0,40827356,28433358,590082,180003,1.15,5.49,214.63,3.66
13:51:30 2008-Apr-14,223.0,21717729,10417228,360018,111197,0.99,30.43,817.39,30.43
13:51:31 2008-Apr-14,220.0,5042548,3985700,80619,9450,0.00,0,0,0
13:51:32 2008-Apr-14,220.0,4418062,3788243,68477,3582,0.99,0,0,0
13:51:33 2008-Apr-14,220.0,5067208,4004741,79560,8165,0.00,0,0,0
13:51:34 2008-Apr-14,220.0,4567203,3803393,77156,5327,0.99,0,0,0
13:51:35 2008-Apr-14,219.0,7340077,4820481,114525,16096,0.00,0,0,0
13:51:36 2008-Apr-14,221.0,11564417,6715741,128729,27153,0.00,23.68,357.89,14.74
13:51:37 2008-Apr-14,221.0,5698246,4252939,96290,8079,0.00,0,0,0
13:51:38 2008-Apr-14,220.0,5146265,4107786,83921,6162,0.00,0,0,0
13:51:39 2008-Apr-14,221.0,5624725,4220110,97364,7987,0.00,0,0,0
13:51:40 2008-Apr-14,220.0,5346210,4080229,90326,7365,0.00,0,0,0
13:51:41 2008-Apr-14,221.0,4643060,3811338,78068,5015,0.00,7.14,93.51,3.38
13:51:42 2008-Apr-14,221.0,6515339,7230999,96719,35672,0.00,0,0,0
13:51:43 2008-Apr-14,220.0,4906149,3902432,80176,6752,0.00,0,0,0
13:51:44 2008-Apr-14,220.0,4322756,3758815,70305,3625,0.00,0,0,0
13:51:45 2008-Apr-14,221.0,4872593,3949818,80603,5505,0.00,0,0,0
13:51:46 2008-Apr-14,221.0,4750188,3835019,80308,6021,3.70,35.14,540.54,17.3
13:51:47 2008-Apr-14,220.0,4523416,3835010,75736,4423,0.00,0,0,0
13:51:48 2008-Apr-14,220.0,4292288,3740313,68924,3290,0.00,0,0,0
13:51:49 2008-Apr-14,220.0,4628737,3884749,78350,4488,0.00,0,0,0
13:51:50 2008-Apr-14,221.0,4665246,3837613,77371,4745,0.00,0,0,0
13:51:51 2008-Apr-14,220.0,5130886,3996913,89528,7647,0.00,8.44,93.51,2.86
13:51:52 2008-Apr-14,221.0,4168413,3708610,67195,2789,0.00,0,0,0
13:51:53 2008-Apr-14,220.0,5279916,4063945,91750,7953,0.00,6.75,53.99,2.21
13:51:54 2008-Apr-14,220.0,4295518,3772877,69599,3446,0.00,0,0,0
13:51:55 2008-Apr-14,220.0,4888768,3938133,80925,5957,0.00,0,0,0
13:51:56 2008-Apr-14,220.0,4810242,3921247,82722,5468,0.00,32.43,367.57,14.05
13:51:57 2008-Apr-14,221.0,5016430,4032081,88542,5451,0.00,0,0,0
13:51:58 2008-Apr-14,220.0,6619796,4563076,112843,13516,0.98,86.49,929.73,47.57
13:51:59 2008-Apr-14,221.0,5705822,4263588,95864,7768,0.99,0,0,0
13:52:00 2008-Apr-14,219.0,4981614,3967483,81869,5260,0.00,0,0,0
13:52:01 2008-Apr-14,222.0,5274079,4086177,90092,7869,0.00,8.44,93.51,3.12
13:52:02 2008-Apr-14,220.0,4376413,3807011,70194,3481,0.99,0,0,0
13:52:03 2008-Apr-14,220.0,4723345,3905791,76984,5190,0.00,0,0,0
13:52:04 2008-Apr-14,220.0,4348612,3825053,68695,3456,0.00,0,0,0
13:52:05 2008-Apr-14,220.0,4840809,3969250,81080,5363,0.00,0,0,0
13:52:06 2008-Apr-14,221.0,4804226,3945905,81821,5530,0.00,37.84,389.19,12.97
13:52:07 2008-Apr-14,220.0,4568695,3904334,75177,4262,0.00,0,0,0
13:52:08 2008-Apr-14,221.0,4397633,3824634,71234,3472,0.00,0,0,0
13:52:09 2008-Apr-14,220.0,4717986,3937147,78074,4536,0.00,0,0,0
13:52:10 2008-Apr-14,221.0,4749645,3919467,75993,5444,0.00,0,0,0
13:52:11 2008-Apr-14,220.0,5106833,4030788,88639,7175,0.00,12.34,129.87,3.38
13:52:12 2008-Apr-14,220.0,4278007,3782975,69090,3098,0.00,0,0,0
13:52:13 2008-Apr-14,220.0,4702367,3927833,77332,4488,0.00,0,0,0
13:52:14 2008-Apr-14,220.0,4243782,3750175,69089,3280,0.99,0,0,0
13:52:15 2008-Apr-14,219.0,4874888,3990836,82008,5541,0.00,0,0,0
13:52:16 2008-Apr-14,220.0,4912768,3969386,81387,5658,-0.00,35.14,389.19,14.05
13:52:17 2008-Apr-14,221.0,5303123,4108959,93948,6367,0.00,0,0,0
13:52:18 2008-Apr-14,221.0,5074424,4080302,82808,5616,0.00,0,0,0
13:52:19 2008-Apr-14,221.0,5309449,4113724,92270,6705,0.00,0,0,0
13:52:20 2008-Apr-14,220.0,4874026,3959674,80961,5212,0.00,0,0,0
13:52:21 2008-Apr-14,221.0,5097333,4047943,87955,5872,0.00,8.44,93.51,3.12
13:52:22 2008-Apr-14,221.0,4458184,3811023,71934,3498,0.99,0,0,0
13:52:23 2008-Apr-14,220.0,4767672,3941279,77045,4833,0.00,0,0,0
13:52:24 2008-Apr-14,220.0,4520335,3844865,71656,3697,0.99,0,0,0
13:52:25 2008-Apr-14,221.0,4932357,4029045,81405,5116,0.00,0,0,0
13:52:26 2008-Apr-14,220.0,5187095,4026564,87544,6928,0.99,35.14,410.81,12.97
13:52:27 2008-Apr-14,220.0,4784038,3944548,79465,4800,0.00,0,0,0
13:52:28 2008-Apr-14,221.0,5695407,4224367,94829,7908,0.00,26.32,210.53,6.32
13:52:29 2008-Apr-14,221.0,6166155,4416748,104730,10390,0.98,0,0,0
13:52:30 2008-Apr-14,221.0,5002664,4026239,84120,5743,0.00,0,0,0
13:52:31 2008-Apr-14,220.0,5011962,4010674,87323,6333,0.00,7.79,93.51,2.34
13:52:32 2008-Apr-14,221.0,4286798,3755952,68679,3174,0.00,0,0,0
13:52:33 2008-Apr-14,220.0,5303570,4078032,93321,7044,0.00,8.02,64.2,2.47
13:52:34 2008-Apr-14,221.0,4379565,3777127,70775,3660,0.00,0,0,0
13:52:35 2008-Apr-14,219.0,4815918,3939730,80510,5508,0.00,0,0,0
13:52:36 2008-Apr-14,219.5,5183164,4016125,86724,6682,0.00,34.21,400,11.58
13:52:37 2008-Apr-14,220.0,5232197,4101873,89912,5732,0.00,0,0,0
13:52:38 2008-Apr-14,221.0,5074468,4061520,86015,5603,0.00,2.7,21.62,6.49
13:52:39 2008-Apr-14,220.0,5246330,4084133,93908,6424,0.00,0,0,0
13:52:40 2008-Apr-14,219.0,4825201,3920082,80003,5053,0.00,0,0,0
13:52:41 2008-Apr-14,220.0,5348913,4102836,92417,6974,0.00,12.99,135.06,3.12
13:52:42 2008-Apr-14,221.0,6477011,7257153,97290,32586,0.00,0,0,0
13:52:43 2008-Apr-14,220.0,4867851,3959879,82700,5884,0.00,0.65,5.23,1.31
13:52:44 2008-Apr-14,220.0,4277202,3770074,68748,3343,0.00,0,0,0
13:52:45 2008-Apr-14,220.0,4814704,3968690,80267,5061,0.00,0,0,0
13:52:46 2008-Apr-14,221.0,4888687,3938465,80542,5972,0.00,35.14,410.81,9.73
13:52:47 2008-Apr-14,220.0,4665468,3927095,76994,4563,0.00,0,0,0
13:52:48 2008-Apr-14,220.0,4461754,3832716,74061,3766,0.00,2.7,21.62,5.41
13:52:49 2008-Apr-14,220.0,4619369,3917080,78300,4276,0.00,0,0,0
13:52:50 2008-Apr-14,221.0,4609714,3895801,75208,4611,0.00,0,0,0
