"Month","sales"
"1987-01-01",1664.81
"1987-02-01",2397.53
"1987-03-01",2840.71
"1987-04-01",3547.29
"1987-05-01",3752.96
"1987-06-01",3714.74
"1987-07-01",4349.61
"1987-08-01",3566.34
"1987-09-01",5021.82
"1987-10-01",6423.48
"1987-11-01",7600.60
"1987-12-01",19756.21
"1988-01-01",2499.81
"1988-02-01",5198.24
"1988-03-01",7225.14
"1988-04-01",4806.03
"1988-05-01",5900.88
"1988-06-01",4951.34
"1988-07-01",6179.12
"1988-08-01",4752.15
"1988-09-01",5496.43
"1988-10-01",5835.10
"1988-11-01",12600.08
"1988-12-01",28541.72
"1989-01-01",4717.02
"1989-02-01",5702.63
"1989-03-01",9957.58
"1989-04-01",5304.78
"1989-05-01",6492.43
"1989-06-01",6630.80
"1989-07-01",7349.62
"1989-08-01",8176.62
"1989-09-01",8573.17
"1989-10-01",9690.50
"1989-11-01",15151.84
"1989-12-01",34061.00
"1990-01-01",5921.10
"1990-02-01",5814.58
"1990-03-01",12421.25
"1990-04-01",6369.77
"1990-05-01",7609.12
"1990-06-01",7224.75
"1990-07-01",8121.22
"1990-08-01",7979.25
"1990-09-01",8093.06
"1990-10-01",8476.70
"1990-11-01",17914.66
"1990-12-01",30114.41
"1991-01-01",4826.64
"1991-02-01",6470.23
"1991-03-01",9638.77
"1991-04-01",8821.17
"1991-05-01",8722.37
"1991-06-01",10209.48
"1991-07-01",11276.55
"1991-08-01",12552.22
"1991-09-01",11637.39
"1991-10-01",13606.89
"1991-11-01",21822.11
"1991-12-01",45060.69
"1992-01-01",7615.03
"1992-02-01",9849.69
"1992-03-01",14558.40
"1992-04-01",11587.33
"1992-05-01",9332.56
"1992-06-01",13082.09
"1992-07-01",16732.78
"1992-08-01",19888.61
"1992-09-01",23933.38
"1992-10-01",25391.35
"1992-11-01",36024.80
"1992-12-01",80721.71
"1993-01-01",10243.24
"1993-02-01",11266.88
"1993-03-01",21826.84
"1993-04-01",17357.33
"1993-05-01",15997.79
"1993-06-01",18601.53
"1993-07-01",26155.15
"1993-08-01",28586.52
"1993-09-01",30505.41
"1993-10-01",30821.33
"1993-11-01",46634.38
"1993-12-01",104660.67

