"vehicleType",batteryVoltage,engineCoolantTemperature,engineSpeed,lateralGForce,longitudeGForce,speed,verticalGForce
"2015 Porsche GT3","13.785",93,6060,"1.11","0.5",69,"-2.0"
"2013 Audi RS5","13.937",94,4957,"0.56","0.7",56,"0.95"
"2015 Porsche GT3","13.827",93,6163,"0.71","0.26",70,"-2.0"
"2011 Ford Mustang GT500","14.035",87,2846,"0.81","-0.71",47,"-2.0"
"2015 Porsche GT3","13.827",93,6542,"0.49","-0.18",76,"-2.0"
"2014 Chevrolet Corvette","14.624",105,4425,"0.32","0.05",100,"-0.17"
"2015 Porsche GT3","13.827",93,7763,"0.24","-0.18",91,"-2.0"
"2015 Porsche GT3","13.827",93,6365,"0.38","-0.2",95,"-2.0"
"2015 Porsche GT3","13.827",93,6713,"0.04","0.13",100,"-2.0"
"2013 Audi RS5","14.262","-10",1508,"0.65","-0.01",6,"0.77"
"2013 Audi RS5","13.931",6,4374,"0.9","-0.82",49,"0.6"
"2015 Porsche GT3","13.808",92,5217,"-0.3","0.57",86,"-2.0"
"2015 Porsche GT3","13.808",92,4303,"-0.27","0.54",60,"-2.0"
"2015 Porsche GT3","13.808",92,4472,"-0.64","0.25",47,"-2.0"
"2015 Porsche GT3","13.808",92,4472,"-0.89","-0.31",47,"-2.0"
"2015 Porsche GT3","13.808",92,3536,"-0.86","-0.39",40,"-2.0"
"2015 Porsche GT3","13.808",92,3499,"-0.78","-0.42",39,"-2.0"
"2015 Porsche GT3","13.716",93,3663,"-0.79","-0.54",42,"-2.0"
"2015 Porsche GT3","13.716",93,3810,"-0.81","-0.46",44,"-2.0"
"2014 Chevrolet Corvette","14.625",105,3526,"0.63","0.57",56,"-0.17"
"2015 Porsche GT3","14.22",92,7344,"0.0","0.21",107,"-2.0"
"2011 Ferrari 458","13.776",87,2911,"1.11","0.36",29,"0.13"
"2015 Porsche GT3","13.716",93,5798,"0.21","-0.4",68,"-2.0"
"2015 Porsche GT3","13.716",93,5116,"0.48","0.11",77,"-2.0"
"2011 Ferrari 458","13.876",83,2350,"0.97","0.0",53,"-0.08"
"2015 Porsche GT3","13.772",92,5256,"-0.37","-0.04",78,"-2.0"
"2011 Ford Mustang GT500","14.016",97,4824,"0.89","0.08",79,"-2.0"
"2015 Porsche GT3","13.772",92,5250,"0.22","0.29",77,"-2.0"
"2015 Porsche GT3","13.772",92,5217,"0.73","0.41",76,"-2.0"
"2015 Porsche GT3","13.772",92,5166,"0.82","0.5",75,"-2.0"
"2015 Porsche GT3","13.772",92,5167,"0.32","0.25",75,"-2.0"
"2015 Porsche GT3","13.772",92,5091,"-0.92","-0.53",75,"-2.0"
"2015 Porsche GT3","13.772",92,5300,"-0.74","-0.64",78,"-2.0"
"2015 Porsche GT3","13.818",91,5533,"-0.61","-0.64",82,"-2.0"
"2015 Porsche GT3","13.818",91,5959,"-0.61","-0.67",88,"-2.0"
"2011 Ford Mustang GT500","13.706",102,3690,"0.89","-0.81",44,"-2.0"
"2015 Porsche GT3","13.818",91,5575,"0.73","0.29",100,"-2.0"
"2015 Porsche GT3","14.233",90,4394,"0.97","0.6",64,"-2.0"
"2015 Porsche GT3","13.818",91,5699,"0.57","0.5",103,"-2.0"
"2015 Porsche GT3","13.818",91,5520,"0.49","0.44",100,"-2.0"
"2013 Audi RS5","13.84",8,5836,"0.76","-1.0",45,"0.75"
"2013 Audi RS5","14.029",96,5393,"0.71","-1.02",42,"0.7"
"2015 Porsche GT3","13.812",90,5770,"-0.73","-0.38",83,"-2.0"
"2015 Porsche GT3","13.812",90,5700,"-0.75","-0.53",83,"-2.0"
"2015 Porsche GT3","13.812",90,5823,"-0.98","-0.59",86,"-2.0"
"2015 Porsche GT3","13.812",90,6095,"-0.52","-0.59",90,"-2.0"
"2014 Chevrolet Corvette","14.791",104,2700,"0.28","-0.12",49,"-0.17"
"2015 Porsche GT3","13.812",90,6758,"0.03","-0.24",100,"-2.0"
"2011 Ferrari 458","13.866",86,1953,"1.06","-0.08",44,"-0.02"
"2015 Porsche GT3","13.815",89,5776,"-0.12","0.53",102,"-2.0"
"2015 Porsche GT3","13.815",89,5264,"-0.34","0.67",90,"-2.0"
"2015 Porsche GT3","13.815",89,4520,"-0.32","0.74",75,"-2.0"
"2015 Porsche GT3","13.815",89,4759,"-0.57","0.46",59,"-2.0"
"2011 Ferrari 458","13.767",83,2410,"0.93","-0.02",55,"-0.07"
"2014 Chevrolet Corvette","14.677",107,4490,"0.78","-0.13",69,"-0.17"
"2015 Porsche GT3","13.815",89,3976,"-1.0","-0.5",32,"-2.0"
"2015 Porsche GT3","13.789",91,4309,"-0.77","-0.71",37,"-2.0"
"2015 Porsche GT3","13.789",91,4892,"-0.79","-0.66",41,"-2.0"
"2015 Porsche GT3","14.259",87,1632,"-0.09","-0.11",13,"-2.0"
"2008 BMW M3","13.828",79,4326,"0.13","-0.86",54,"0.25"
"2015 Porsche GT3","13.789",91,8146,"0.08","-0.46",70,"-2.0"
"2015 Porsche GT3","13.789",91,6557,"0.37","-0.27",77,"-2.0"
"2011 Ferrari 458","14.038",87,5252,"0.91","-0.37",81,"-0.04"
"2015 Porsche GT3","13.789",91,8080,"0.98","0.09",95,"-2.0"
"2015 Porsche GT3","13.853",90,6693,"0.83","0.1",100,"-2.0"
"2015 Porsche GT3","13.853",90,7099,"0.67","0.03",105,"-2.0"
"2015 Porsche GT3","14.046",91,5561,"-0.83","-0.55",80,"-2.0"
"2015 Porsche GT3","13.853",90,7730,"0.19","0.31",115,"-2.0"
"2015 Porsche GT3","13.932",90,4692,"0.34","0.59",70,"-2.0"
"2015 Porsche GT3","13.853",90,7180,"0.7","0.71",104,"-2.0"
"2015 Porsche GT3","13.853",90,6874,"0.75","0.6",99,"-2.0"
"2015 Porsche GT3","13.853",90,6874,"0.55","0.54",99,"-2.0"
"2008 BMW M3","13.855",86,4913,"0.15","-1.01",60,"-0.63"
"2015 Porsche GT3","13.829",89,5894,"1.08","0.73",85,"-2.0"
"2015 Porsche GT3","13.829",89,5462,"0.71","0.54",78,"-2.0"
"2015 Porsche GT3","13.829",89,5006,"0.25","0.5",70,"-2.0"
"2011 Ferrari 458","14.028",87,4420,"0.97","-0.8",54,"-0.06"
"2015 Porsche GT3","13.829",89,4845,"-0.71","-0.26",53,"-2.0"
"2014 Chevrolet Corvette","14.815",103,5157,"0.95","-0.2",70,"-0.17"
"2015 Porsche GT3","13.829",89,3983,"-0.48","-0.55",45,"-2.0"
"2015 Porsche GT3","13.841",90,4208,"-0.47","-0.67",49,"-2.0"
"2015 Porsche GT3","13.841",90,5189,"-0.27","-0.56",55,"-2.0"
"2015 Porsche GT3","13.866",92,6208,"0.01","-0.38",73,"-2.0"
"2015 Porsche GT3","13.841",90,4798,"-0.28","-0.36",67,"-2.0"
"2015 Porsche GT3","13.841",90,4712,"-0.26","0.03",68,"-2.0"
"2011 Ferrari 458","13.64",87,1463,"0.98","0.02",33,"-0.26"
"2013 Audi RS5","13.926",94,4091,"0.55","0.78",78,"0.75"
"2015 Porsche GT3","13.841",90,4358,"0.54","0.45",63,"-2.0"
"2015 Porsche GT3","13.819",89,4185,"0.88","0.65",60,"-2.0"
"2008 BMW M3","13.884",86,5961,"0.3","-1.01",72,"-0.32"
"2015 Porsche GT3","13.819",89,3727,"0.04","0.01",54,"-2.0"
"2015 Porsche GT3","13.819",89,3570,"-0.5","-0.41",52,"-2.0"
"2015 Porsche GT3","13.819",89,3582,"-0.5","-0.36",52,"-2.0"
"2015 Porsche GT3","14.23",90,5321,"0.78","0.49",78,"-2.0"
"2015 Porsche GT3","14.189",85,1895,"-0.11","-0.01",9,"-2.0"
"2011 Ford Mustang GT500","13.747",96,5769,"1.24","0.18",100,"-2.0"
"2015 Porsche GT3","13.819",89,4911,"-0.04","0.18",57,"-2.0"
"2015 Porsche GT3","13.819",89,4528,"-0.13","0.33",55,"-2.0"
"2015 Porsche GT3","13.819",89,4144,"-0.17","0.31",46,"-2.0"
"2014 Chevrolet Corvette","14.571",105,2385,"0.6","-1.03",37,"-0.17"
"2015 Porsche GT3","13.819",89,3611,"-0.85","-0.28",40,"-2.0"
"2015 Porsche GT3","13.819",89,3390,"-0.71","-0.4",39,"-2.0"
"2015 Porsche GT3","13.819",89,3669,"-0.57","-0.57",43,"-2.0"
"2015 Porsche GT3","13.819",89,4205,"-0.39","-0.45",50,"-2.0"
"2015 Porsche GT3","13.861",89,4797,"-0.14","-0.23",57,"-2.0"
"2015 Porsche GT3","13.861",89,5256,"-0.13","-0.12",61,"-2.0"
"2015 Porsche GT3","13.861",89,4323,"-0.33","-0.17",64,"-2.0"
"2015 Porsche GT3","13.861",89,4383,"-0.55","-0.21",64,"-2.0"
"2013 Audi RS5","14.002",2,5827,"0.54","0.3",95,"0.84"
"2015 Porsche GT3","13.861",89,4444,"-0.56","-0.29",65,"-2.0"
"2011 Ferrari 458","13.951",87,4032,"1.07","0.23",50,"0.23"
"2015 Porsche GT3","13.861",89,4511,"-0.41","-0.2",66,"-2.0"
"2015 Porsche GT3","13.849",88,4339,"-0.14","0.04",65,"-2.0"
"2015 Porsche GT3","13.849",88,4144,"-0.13","0.06",59,"-2.0"
"2014 Chevrolet Corvette","14.896",105,3105,"0.7","-0.83",51,"-0.17"
"2008 BMW M3","13.841",83,5328,"0.05","-1.14",66,"-0.59"
"2014 Chevrolet Corvette","14.849",103,3090,"0.57","-0.31",49,"-0.17"
"2015 Porsche GT3","13.849",88,4438,"0.1","0.2",50,"-2.0"
"2015 Porsche GT3","13.849",88,4370,"0.39","0.38",49,"-2.0"
"2015 Porsche GT3","13.849",88,4349,"0.49","0.34",49,"-2.0"
"2015 Porsche GT3","13.736",89,4326,"0.5","0.36",49,"-2.0"
"2008 BMW M3","13.858",83,5543,"-0.02","-0.95",70,"0.13"
"2015 Porsche GT3","14.066",89,4899,"0.05","0.05",71,"-2.0"
"2011 Ford Mustang GT500","13.657",90,2618,"0.74","0.08",66,"-2.0"
"2015 Porsche GT3","13.736",89,4647,"0.55","0.41",53,"-2.0"
"2015 Porsche GT3","13.736",89,4743,"0.61","0.37",53,"-2.0"
"2015 Porsche GT3","13.736",89,4786,"0.64","0.32",54,"-2.0"
"2015 Porsche GT3","13.736",89,4834,"0.5","0.16",55,"-2.0"
"2015 Porsche GT3","13.857",89,5019,"0.5","0.13",57,"-2.0"
"2014 Chevrolet Corvette","14.556",102,4244,"0.51","-0.66",68,"-0.17"
"2015 Porsche GT3","13.857",89,5386,"0.36","-0.04",62,"-2.0"
"2014 Chevrolet Corvette","14.666",106,4401,"0.56","0.75",71,"-0.17"
"2015 Porsche GT3","13.857",89,5806,"0.22","-0.09",66,"-2.0"
"2015 Porsche GT3","13.857",89,4660,"0.2","-0.02",68,"-2.0"
"2015 Porsche GT3","13.857",89,4717,"0.17","-0.04",69,"-2.0"
"2015 Porsche GT3","13.857",89,4754,"0.15","0.05",69,"-2.0"
"2015 Porsche GT3","13.859",88,4694,"0.02","0.12",68,"-2.0"
"2015 Porsche GT3","13.859",88,4545,"-0.04","0.11",65,"-2.0"
"2015 Porsche GT3","13.859",88,4320,"-0.04","0.06",63,"-2.0"
"2015 Porsche GT3","13.859",88,3927,"-0.09","0.09",59,"-2.0"
"2015 Porsche GT3","13.829",91,5962,"0.45","0.34",88,"-2.0"
"2011 Ford Mustang GT500","13.862",91,5415,"1.05","-0.41",65,"-2.0"
"2015 Porsche GT3","13.859",88,3134,"0.0","0.16",45,"-2.0"
"2008 BMW M3","13.806",83,4313,"-0.18","-0.88",54,"0.02"
"2015 Porsche GT3","13.832",88,4461,"-0.28","0.15",36,"-2.0"
"2015 Porsche GT3","13.832",88,4013,"-0.63","-0.14",32,"-2.0"
"2015 Porsche GT3","13.832",88,3726,"-0.56","-0.34",30,"-2.0"
"2011 Ferrari 458","13.59",90,1097,"1.0","-0.01",1,"-0.05"
"2015 Porsche GT3","13.832",88,4113,"-0.45","-0.37",34,"-2.0"
"2014 Chevrolet Corvette","14.898",101,3513,"0.41","-0.46",39,"-0.17"
"2008 BMW M3","13.891",89,4087,"0.25","-0.89",50,"0.74"
"2015 Porsche GT3","13.832",88,4963,"-0.79","-0.48",41,"-2.0"
"2015 Porsche GT3","13.822",90,5209,"-0.4","-0.4",43,"-2.0"
"2011 Ford Mustang GT500","13.894",108,4304,"1.13","0.43",93,"-2.0"
"2008 BMW M3","13.828",86,3928,"0.18","-1.25",49,"0.77"
"2015 Porsche GT3","13.822",90,4850,"0.11","-0.08",53,"-2.0"
"2015 Porsche GT3","13.822",90,3902,"0.23","0.07",57,"-2.0"
"2015 Porsche GT3","13.822",90,4025,"0.3","0.16",59,"-2.0"
"2015 Porsche GT3","13.822",90,4025,"0.14","0.04",59,"-2.0"
"2008 BMW M3","13.861",88,6145,"0.38","-0.98",75,"0.76"
"2015 Porsche GT3","13.823",89,4044,"-0.5","-0.19",59,"-2.0"
"2015 Porsche GT3","13.823",89,4034,"-0.06","0.06",59,"-2.0"
"2011 Ford Mustang GT500","13.744",105,4818,"1.18","0.31",79,"-2.0"
"2015 Porsche GT3","13.823",89,3880,"0.41","0.29",56,"-2.0"
"2015 Porsche GT3","13.823",89,3842,"0.36","0.25",55,"-2.0"
