"","party","handicapped-infants","water-project-cost-sharing","adoption-of-the-budget-resolution","physician-fee-freeze","el-salvador-aid","religious-groups-in-schools","anti-satellite-test-ban","aid-to-nicaraguan-contras","mx-missile","immigration","synfuels-corporation-cutback","education-spending","superfund-right-to-sue","crime","duty-free-exports","export-administration-act-south-africa"
"1","republican","n","y","n","y","y","y","n","n","n","y","?","y","y","y","n","y"
"2","republican","n","y","n","y","y","y","n","n","n","n","n","y","y","y","n","?"
"3","democrat","?","y","y","?","y","y","n","n","n","n","y","n","y","y","n","n"
"4","democrat","n","y","y","n","?","y","n","n","n","n","y","n","y","n","n","y"
"5","democrat","y","y","y","n","y","y","n","n","n","n","y","?","y","y","y","y"
"6","democrat","n","y","y","n","y","y","n","n","n","n","n","n","y","y","y","y"
"7","democrat","n","y","n","y","y","y","n","n","n","n","n","n","?","y","y","y"
"8","republican","n","y","n","y","y","y","n","n","n","n","n","n","y","y","?","y"
"9","republican","n","y","n","y","y","y","n","n","n","n","n","y","y","y","n","y"
"10","democrat","y","y","y","n","n","n","y","y","y","n","n","n","n","n","?","?"
"11","republican","n","y","n","y","y","n","n","n","n","n","?","?","y","y","n","n"
"12","republican","n","y","n","y","y","y","n","n","n","n","y","?","y","y","?","?"
"13","democrat","n","y","y","n","n","n","y","y","y","n","n","n","y","n","?","?"
"14","democrat","y","y","y","n","n","y","y","y","?","y","y","?","n","n","y","?"
"15","republican","n","y","n","y","y","y","n","n","n","n","n","y","?","?","n","?"
"16","republican","n","y","n","y","y","y","n","n","n","y","n","y","y","?","n","?"
"17","democrat","y","n","y","n","n","y","n","y","?","y","y","y","?","n","n","y"
"18","democrat","y","?","y","n","n","n","y","y","y","n","n","n","y","n","y","y"
"19","republican","n","y","n","y","y","y","n","n","n","n","n","?","y","y","n","n"
"20","democrat","y","y","y","n","n","n","y","y","y","n","y","n","n","n","y","y"
"21","democrat","y","y","y","n","n","?","y","y","n","n","y","n","n","n","y","y"
"22","democrat","y","y","y","n","n","n","y","y","y","n","n","n","?","?","y","y"
"23","democrat","y","?","y","n","n","n","y","y","y","n","n","?","n","n","y","y"
"24","democrat","y","y","y","n","n","n","y","y","y","n","n","n","n","n","y","y"
"25","democrat","y","n","y","n","n","n","y","y","y","n","n","n","n","n","y","?"
"26","democrat","y","n","y","n","n","n","y","y","y","y","n","n","n","n","y","y"
"27","democrat","y","n","y","n","n","n","y","y","y","n","y","n","n","n","y","y"
"28","democrat","y","y","y","n","n","n","y","y","y","n","y","n","n","n","y","y"
"29","republican","y","n","n","y","y","n","y","y","y","n","n","y","y","y","n","y"
"30","democrat","y","y","y","n","n","n","y","y","y","n","y","n","n","n","y","y"
"31","republican","n","y","n","y","y","y","n","n","n","n","n","y","y","y","n","n"
"32","democrat","y","y","y","n","n","n","y","y","y","n","y","n","n","n","y","?"
"33","democrat","y","y","y","n","n","n","y","y","y","y","n","n","y","n","y","y"
